Category,Import/Export,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19 (P)
Crude Oil Import,Crude Oil Import,184795,189238,189435,202850,213932,220433,226498
Product Import,LPG,6301,6567,8313,8959,11097,11380,13235
Product Import,Petrol,147,235,372,1012,476,174,670
Product Import,Naphtha,1762,1020,1034,2931,2777,2212,2082
Product Import,Aviation Turbine Fuel (ATF),0,0,140,286,338,300,259
Product Import,Kerosene,0,0,30,41,0,0,0
Product Import,Diesel,528,77,124,177,1008,1361,555
Product Import,Lubes,1977,2090,2148,2264,2131,2539,2457
Product Import,Fuel Oil,1038,1331,902,1170,925,1213,1419
Product Import,Bitumen,102,246,517,879,951,950,877
Product Import,Petcoke,3339,3571,6165,10041,14416,12777,7926
Product Import,Others1,1162,1559,1557,1694,2169,2556,3868
Product Import,Total Product Import,16354,16697,21301,29456,36287,35461,33348
Product Import,Total Import,201149,205935,210736,232306,250219,255894,259846
Product Export ,LPG,200,227,254,195,317,359,417
Product Export ,Petrol,16657,15247,16048,16817,15417,14036,12885
Product Export ,Naphtha,8647,8322,7008,7116,8727,8951,6963
Product Export ,Aviation Turbine Fuel (ATF),4664,5745,5520,5686,7271,7183,7389
Product Export ,Kerosene,23,15,15,10,15,17,19
Product Export ,Diesel,22473,26499,25566,24037,27453,29735,27931
Product Export ,Lubes,59,20,11,17,13,13,8
Product Export ,Fuel Oil,5922,6159,4762,2806,2248,2525,2197
Product Export ,Bitumen,87,95,94,101,38,64,23
Product Export ,Petcoke/CBFS,1317,1698,613,840,673,561,1124
Product Export ,Others2,3358,3837,4041,2914,3344,3387,2140
Product Export ,Total Export,63408,67864,63932,60539,65513,66833,61096
Product Export ,Net Import,137742,138071,146804,171768,184706,189061,198750
Product Export ,Net Product Export,47054,51167,42631,31083,29226,31372,27747
